,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plyo Velo Blue Rockers,,,,,,Hybrid Blue Rockers,,,,,,,Plyo Velo Red Rockers,,,,,,Hybrid Red Rockers,,,
,Average,61.778,62.76,819.76,57.94,154.58,,54.058,53.48,702.78,56.8,151.06,,Average,71.414,56.28,846.96,51.36,155.88,,62.908,50.1,783.12,54.98,152.48
,Standard Deviation,3.525126381,10.18343753,75.49160483,10.64407817,14.84464887,,4.973091192,9.966423631,129.9771195,19.11857735,15.59667913,,Standard Deviation,3.804629285,9.824540702,59.03861787,13.41754076,14.0806818,,5.335272814,10.56645636,118.958924,10.47184797,13.45249419
,,,,,,,,,,,,,,,,,,,,,,,,,
,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation
,Pitcher 1,67.1,67,773,48,141,,59.8,61,765,53,147,,Pitcher 1,76.4,64,853,43,152,,70.1,57,895,50,137
,,67.2,69,832,46,149,,62.1,63,753,50,136,,,77.9,63,849,41,149,,74.4,58,832,47,141
,Pitcher 2,61.9,57,694,64,175,,46.4,50,432,57,163,,Pitcher 2,71.6,54,790,58,175,,57.6,53,637,59,168
,,61.3,58,725,63,173,,48.9,56,472,38,169,,,73.3,55,845,61,176,,58.4,53,664,56,168
,Pitcher 3,61.9,52,848,51,149,,51,52,866,50,142,,Pitcher 3,72.8,52,797,49,152,,58.9,48,866,49,149
,,60.8,61,772,47,152,,49,53,842,51,143,,,71.4,44,877,53,155,,60.1,48,922,26,157
,Pitcher 4,59.4,49,765,53,147,,50.4,42,650,42,154,,Pitcher 4,68.8,41,823,53,156,,63.3,42,836,44,152
,,58.4,49,824,60,147,,51.9,44,769,37,149,,,67.6,40,845,53,147,,63.7,41,819,45,153
,Pitcher 5,62.8,87,783,77,147,,58.8,52,630,74,165,,Pitcher 5,70.3,78,797,82,164,,64.6,47,935,71,155
,,64.6,87,760,80,148,,56.9,47,566,78,163,,,74.1,80,849,77,163,,63.2,43,664,72,155
,Pitcher 6,63.2,57,957,67,176,,57.3,56,805,55,146,,Pitcher 6,72,45,841,51,164,,65.3,52,792,45,147
,,62.7,65,863,58,171,,56.7,58,832,50,148,,,73.4,44,818,32,175,,59.3,53,835,47,154
,Pitcher 7,62.4,71,855,49,154,,55.9,72,762,58,151,,Pitcher 7,71.7,66,908,46,161,,65.8,59,864,54,155
,,62.7,69,931,47,154,,57.2,63,811,158,157,,,70.1,64,905,39,161,,68.7,59,864,54,153
,Pitcher 8,55.3,57,832,63,179,,53.2,56,766,62,177,,Pitcher 8,62.4,48,886,32,181,,59.6,51,785,58,180
,,53,57,836,61,179,,52.1,53,775,53,176,,,63.2,47,854,55,182,,59.7,47,800,32,177
,Pitcher 9,58.1,68,736,79,152,,51.3,58,545,69,146,,Pitcher 9,67.6,64,758,69,157,,56.4,50,649,68,154
,,58.4,67,699,76,158,,49.9,52,545,63,145,,,65.7,64,790,71,154,,58.5,54,700,61,151
,Pitcher 10,59.1,58,806,35,180,,57.1,53,798,47,182,,Pitcher 10,69.1,42,816,25,179,,63.2,48,810,50,180
,,59.6,51,843,56,181,,56.3,53,745,56,182,,,70.2,44,796,19,179,,64.4,55,808,52,183
,Pitcher 11,62.2,60,748,55,139,,45.8,32,371,68,142,,Pitcher 11,75,62,740,37,150,,50.9,35,433,68,138
,,63.4,60,737,52,139,,45.6,34,354,68,136,,,75.4,53,767,44,139,,53.2,31,421,60,132
,Pitcher 12,62.6,62,731,72,122,,59.6,64,737,46,140,,Pitcher 12,71.6,57,806,69,128,,68.4,45,794,66,148
,,62.9,62,735,72,129,,60.2,53,731,62,148,,,72.8,54,828,72,123,,68.8,54,917,62,138
,Pitcher 13,69.6,73,863,53,155,,60.5,50,707,65,150,,Pitcher 13,81.9,68,784,56,150,,69.7,48,838,58,151
,,70,74,872,53,149,,61.9,48,732,47,148,,,79.6,66,786,51,152,,71.6,48,827,58,151
,Pitcher 14,60.9,80,923,43,162,,53.3,62,836,57,136,,Pitcher 14,69.8,70,916,48,157,,62,57,920,55,135
,,59.4,82,906,58,167,,53.4,62,836,55,141,,,66.2,67,911,45,159,,63.6,71,976,66,140
,Pitcher 15,58.8,54,723,62,166,,45.9,31,473,80,100,,Pitcher 15,67.3,51,879,64,160,,54.4,25,546,73,169
,,59.5,53,781,63,167,,45.8,29,488,73,159,,,68.7,50,875,63,158,,53.2,23,532,74,160
,Pitcher 16,60.3,50,900,44,170,,54.9,59,772,50,154,,Pitcher 16,67.2,45,969,40,161,,65.7,80,810,52,155
,,58.6,55,995,41,160,,58.5,57,768,53,161,,,67.9,42,1013,50,172,,65.8,53,805,63,167
,Pitcher 17,64.1,80,899,58,138,,58.3,76,767,67,134,,Pitcher 17,73.5,72,909,32,148,,66.9,66,755,63,130
,,63.9,79,730,53,138,,58.5,69,727,31,130,,,72.7,69,870,37,144,,69.1,75,812,61,137
,Pitcher 18,66.6,47,809,61,153,,58,44,738,75,153,,Pitcher 18,74,51,854,60,146,,63.3,36,777,71,155
,,67,45,809,60,152,,59.8,45,758,72,156,,,74.6,46,853,56,144,,64.9,40,830,59,148
,Pitcher 19,57.8,55,836,61,146,,51.7,52,846,63,139,,Pitcher 19,70.2,46,824,49,142,,64.9,53,875,62,151
,,56.2,56,878,66,150,,57.3,57,924,58,139,,,72.3,47,741,55,149,,65.6,52,849,52,141
,Pitcher 20,58.4,54,927,46,172,,48.1,51,646,48,182,,Pitcher 20,71.1,60,794,43,167,,61.3,52,804,41,173
,,60.7,55,846,45,171,,52.2,57,630,44,181,,,72.6,65,830,45,162,,63.4,55,876,57,171
,Pithcer 21,59.8,64,678,52,156,,49.4,51,727,26,156,,Pithcer 21,72.5,57,751,44,156,,59.4,53,707,53,143
,,61.5,63,707,45,151,,51.6,52,693,53,162,,,71.6,55,782,40,161,,62.5,55,725,49,154
,Pitcher 22,58.3,71,873,76,135,,44.2,38,525,69,137,,Pitcher 22,66.3,63,932,57,136,,53.2,37,621,62,132
,,57.9,68,878,70,135,,47.1,44,662,60,129,,,65.9,62,916,53,139,,55.6,42,723,54,128
,Pitcher 23,63.7,64,812,67,126,,59.3,68,736,46,140,,Pitcher 23,71.8,57,866,68,130,,68.9,53,773,45,135
,,66,73,815,72,133,,59.9,66,746,42,140,,,71.2,59,903,65,130,,70.1,57,817,53,156
,Pitcher 24,65.9,65,905,52,152,,56.8,52,734,44,155,,Pitcher 24,74.3,57,899,70,162,,65.9,52,777,50,156
,,65.1,62,937,59,154,,59.8,56,763,49,151,,,75.4,58,898,50,146,,69.8,51,872,47,160
,Pithcer 25,63.9,53,782,54,165,,51.6,60,787,29,158,,Pithcer 25,73.6,57,832,61,170,,58.1,43,883,36,148
,,64,63,819,52,165,,51.7,61,796,39,155,,,74.1,49,923,35,171,,60,45,884,39,153
