,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plyo Velo Blue Walking Windups,,,,,,Hybrid Blue Walking Windups,,,,,,,Plyo Velo Red Walking Windups,,,,,,Hybrid Red Walking Windups,,,
,Average,63.746,62.68,819.5,55.24,160.84,,56.892,55.22,736.62,56.12,156.46,,Average,73.908,56.8,840.36,53.68,161.68,,65.454,51.56,809.16,55.76,157.96
,Standard Deviation,3.76447659,10.05473023,71.17000773,12.0955529,14.10299259,,5.326719065,9.812828338,122.8349934,11.59765494,14.62082077,,Standard Deviation,4.156384968,11.0941426,79.45860809,13.95914037,14.321229,,5.400674402,10.21402957,114.7967526,11.07530586,12.73885395
,,,,,,,,,,,,,,,,,,,,,,,,,
,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation
,Pitcher 1,70,77,865,44,143,,68.5,65,857,43,143,,Pitcher 1,79,65,885,44,147,,77.9,60,878,50,145
,,70.6,79,823,47,141,,65.2,62,789,55,135,,,79.1,67,803,44,151,,76.9,57,951,41,146
,Pitcher 2,58.8,51,672,63,183,,48.6,54,431,32,176,,Pitcher 2,76,52,907,68,181,,60.3,52,750,32,175
,,59.8,55,695,65,179,,50.4,55,519,34,174,,,72.6,50,866,66,182,,59.9,54,672,57,171
,Pitcher 3,65.9,60,851,49,157,,54.7,56,968,59,164,,Pitcher 3,79.6,53,885,49,159,,64.3,45,809,64,166
,,65.2,58,834,46,158,,52.7,59,873,50,168,,,78.5,54,875,53,167,,67.4,56,835,59,167
,Pitcher 4,60.8,49,791,49,155,,57,46,760,35,150,,Pitcher 4,68.9,43,867,46,157,,67.6,44,777,39,156
,,58.8,47,788,42,159,,55.9,46,754,48,153,,,68,44,800,39,147,,66,48,799,43,150
,Pitcher 5,63.1,85,799,70,151,,59.3,51,655,73,159,,Pitcher 5,70.4,83,805,76,147,,66.5,44,753,70,153
,,62.1,82,737,70,143,,57.8,51,661,69,149,,,73.4,88,855,72,157,,65,43,725,75,158
,Pitcher 6,66,57,899,58,162,,60.8,56,793,48,155,,Pitcher 6,77.1,45,900,50,168,,71.1,55,781,48,161
,,66.3,55,867,61,176,,60.8,58,865,55,163,,,75.5,59,896,67,172,,68.8,55,843,56,155
,Pitcher 7,63.4,73,886,46,156,,58.8,61,737,54,154,,Pitcher 7,71.5,62,896,48,156,,68.2,58,843,56,162
,,62.6,72,917,47,160,,59.7,61,800,52,156,,,72,64,862,44,158,,68.6,60,837,42,163
,Pitcher 8,57,51,805,19,182,,53.3,48,780,61,169,,Pitcher 8,62.3,45,902,56,183,,62.3,42,879,52,174
,,56.3,57,847,67,176,,55.5,51,760,52,177,,,63.5,45,864,54,179,,61.2,41,826,47,176
,Pitcher 9,60.2,67,728,50,164,,53,58,581,67,157,,Pitcher 9,67.6,62,699,57,171,,59.9,57,717,66,160
,,59.9,66,728,63,167,,53.9,57,681,67,159,,,71.1,62,739,51,164,,63.1,62,825,68,162
,Pitcher 10,63.5,51,777,43,180,,58.4,55,781,40,181,,Pitcher 10,73.9,45,848,14,182,,67.4,55,889,48,181
,,64.5,54,834,33,180,,59.3,53,789,40,179,,,74.1,50,797,8,183,,67.3,46,814,46,182
,Pitcher 11,67.1,61,774,54,145,,50.8,43,453,69,139,,Pitcher 11,80.3,50,746,47,148,,55.7,34,413,67,132
,,66.1,61,763,54,149,,46.6,38,412,58,132,,,79.6,49,759,47,149,,57.3,42,474,56,138
,Pitcher 12,67.7,68,792,67,125,,62.6,59,744,63,117,,Pitcher 12,74.6,56,817,63,128,,68.6,50,920,62,150
,,67.9,64,753,40,143,,58.5,56,680,62,118,,,74.8,60,854,63,125,,65.5,46,807,66,151
,Pitcher 13,70.1,78,812,59,158,,66.3,53,770,59,154,,Pitcher 13,81.4,78,812,59,161,,75.4,47,819,56,156
,,70.4,80,775,51,157,,67.3,54,829,58,160,,,80.5,89,859,68,164,,76.3,49,935,56,165
,Pitcher 14,62.2,82,977,46,161,,55.6,60,843,64,152,,Pitcher 14,70.8,69,977,43,153,,63.4,59,946,65,150
,,61.6,60,939,48,168,,55.9,62,894,60,150,,,73.8,63,971,38,158,,62.3,62,917,58,150
,Pitcher 15,58.6,48,768,76,178,,48.1,32,514,79,176,,Pitcher 15,70.4,51,880,67,171,,55.1,31,639,79,170
,,61.9,54,804,73,178,,46.3,29,513,79,174,,,70.5,52,915,73,170,,56.9,34,626,78,178
,Pitcher 16,61.5,57,845,81,183,,55.9,60,797,63,176,,Pitcher 16,70.1,46,893,77,179,,66.2,74,781,68,182
,,61,56,916,74,175,,56.9,58,806,60,170,,,72.9,49,1050,76,183,,65.1,52,782,60,171
,Pitcher 17,63.9,80,808,62,148,,62.4,81,716,59,146,,Pitcher 17,75.3,73,714,56,146,,66.6,71,851,66,135
,,66.7,77,742,57,152,,61.9,72,747,53,149,,,76.9,74,740,58,153,,68.1,80,820,64,166
,Pitcher 18,68.9,55,841,61,156,,55.8,33,670,77,158,,Pitcher 18,77.9,51,878,44,153,,62.6,34,763,72,153
,,69.4,53,830,56,150,,58.2,49,655,78,157,,,79.1,48,884,58,160,,65.2,37,782,66,157
,Pitcher 19,60.6,54,823,70,158,,58.5,57,920,64,149,,Pitcher 19,73.6,48,741,61,160,,65,55,959,57,140
,,59.4,56,833,68,164,,56.7,57,880,61,142,,,72.3,46,733,62,161,,65.9,53,965,63,148
,Pitcher 20,59.9,57,910,43,171,,54.8,68,844,44,179,,Pitcher 20,70.9,45,618,29,174,,63.9,59,924,65,135
,,62.3,70,764,43,173,,55.6,71,764,70,180,,,72.5,51,880,52,174,,66.3,60,845,50,180
,Pithcer 21,64.4,61,788,44,160,,52.4,54,706,55,146,,Pithcer 21,71.7,58,745,52,160,,59.6,55,739,51,150
,,62.8,62,740,42,142,,52.9,54,722,56,149,,,72.8,52,709,37,151,,62.4,54,712,40,149
,Pitcher 22,59.3,64,763,58,154,,49.5,45,675,54,145,,Pitcher 22,73.3,56,872,48,154,,58.2,46,773,51,144
,,59.8,64,743,59,152,,50.8,48,748,51,158,,,72.8,54,822,50,162,,58.6,44,765,47,147
,Pitcher 23,64.2,62,809,68,139,,64.4,70,754,44,162,,Pitcher 23,70.6,56,894,64,137,,73.3,62,765,49,149
,,64.3,63,812,68,139,,64.2,65,732,51,154,,,71.9,58,926,67,137,,73,67,736,43,162
,Pitcher 24,69,67,940,55,167,,62.3,61,743,39,160,,Pitcher 24,78.2,57,894,62,173,,72.5,51,883,44,157
,,67.9,65,928,52,166,,64,58,858,45,156,,,77.1,58,874,58,173,,70.7,51,1000,43,163
,Pithcer 25,66.8,57,1009,55,176,,52.4,49,767,44,149,,Pithcer 25,77.1,53,816,47,178,,61.2,43,897,46,153
,,66.8,52,831,46,183,,53.4,62,841,53,145,,,77.6,52,794,52,178,,62.1,42,1017,41,154
