,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plyo Velo Green,,,,,,Hybrid Green,,,,,,,Plyo Velo Blue,,,,,,Hybrid Blue,,,,
,Average,49.592,69.3,697.02,66.72,157.42,,43.85,55.85666667,606.47,70.16666667,154.1,,Average,64.618,64.12333333,830.5066667,59.54666667,162.1433333,,55.534,55.47,721.7,61.94,155.33,
,Standard Deviation,3.529750133,14.27200056,107.3684293,15.22634559,18.86699764,,4.215601974,14.72763879,123.0241652,10.05750135,20.38130952,,Standard Deviation,3.863453895,10.26541172,74.42510001,13.01307206,14.0111864,,4.746898356,11.30681653,121.4937447,12.4890512,23.38837532,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,
,Pitcher 1,55,88,804,32,152,,49.4,67,707,69,145,,Pitcher 1,70.2,77,878,50,148,,61.2,82,785,63,165,
,,55.5,89,789,20,164,,49.1,86,667,67,155,,,70.5,74,861,55,152,,61.3,83,784,63,158,
,Pitcher 2,47.2,67,486,67,183,,37.9,49,397,62,169,,Pitcher 2,64.6,62,742,60,179,,51.8,59,520,57,168,
,,47.4,69,541,64,179,,37.5,49.33333333,355.3333333,61.66666667,176.3333333,,,64.4,58,773,65,180,,51.8,60,514,43,175,
,Pitcher 3,47.9,65,775,60,130,,41.4,57,661,73,151,,Pitcher 3,65.3,62,815,50,159,,51.8,57,747,71,155,
,,49.1,73,823,62,141,,41.4,58,699,64,156,,,66.8,59,878,52,161,,52.1,56,846,67,156,
,Pitcher 4,47.8,59,774,68,146,,45.1,56,764,77,146,,Pitcher 4,63.8,51,786,58,150,,54.4,47,694,48,150,
,,49.3,58,746,69,150,,44.9,57,834,76,147,,,63.4,51,842,62,147,,54.4,47,644,46,145,
,Pitcher 5,50.9,87,697,83,169,,43.6,47,539,82,170,,Pitcher 5,65.6,87,858,79,162,,54.3,49,647,83,165,
,,53,88,619,87,170,,43.8,45,548,85,163,,,65.1,84,816,83,169,,53.7,48,695,81,155,
