,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plyo Velo Yellow Rockers,,,,,,Hybrid Yellow Rockers,,,,,,,Plyo Velo Gray Rockers,,,,,,Hybrid Gray Rockers,,,
,Average,75.906,55.52,875.94,52.82,155.58,,66.5,48.36,781.87,53.52,153.4,,Average,79.24,53.78,861.92,51.68,155.4,,69.756,47.5,820.84,51.48,152.88
,Standard Deviation,4.169432096,12.37778655,67.10690277,11.07192847,13.7085229,,5.584764991,9.42074307,146.1526192,12.43742739,12.68700122,,Standard Deviation,4.766466196,11.4965908,133.3908303,13.5076867,13.01691208,,6.51880848,10.27277957,103.3542181,13.45843973,13.50798282
,,,,,,,,,,,,,,,,,,,,,,,,,
,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation
,Pitcher 1,81.4,63,898,40,151,,76.7,55,884,50,138,,Pitcher 1,85.8,62,955,48,153,,78.3,54,847,49,136
,,81.9,65,906,41,147,,75.4,54,831,43,138,,,86.3,59,885,36,150,,77,54,823,45,138
,Pitcher 2,80,53,822,59,181,,60.4,51,618,56,167,,Pitcher 2,83.4,51,813,60,179,,62.6,51,751,58,165
,,79.8,65,879,51,179,,58.2,53,575,58,167,,,81.6,60,850,56,182,,59.6,52,644,59,166
,Pitcher 3,75,50,852,49,159,,63.3,44,860,27,157,,Pitcher 3,78.8,45,880,46,158,,69.3,41,779,35,152
,,76.1,45,879,49,153,,66.2,43,900,60,154,,,79,46,920,47,159,,72.3,46,940,49,153
,Pitcher 4,71.5,40,868,48,157,,64.9,41,788,35,151,,Pitcher 4,74.2,40,892,50,142,,71.1,38,883,34,156
,,73.9,39,866,44,149,,69.4,40,821,33,151,,,75.6,38,883,46,157,,72.5,41,899,44,153
,Pitcher 5,74.2,76,854,76,157,,68.4,48,775,72,155,,Pitcher 5,77.3,81,878,80,160,,73.1,45,834,73,159
,,76.4,81,859,76,160,,66.7,46,741,70,156,,,80.2,75,888,79,157,,69.9,47,820,69,156
,Pitcher 6,76.8,46,919,50,160,,69.9,53,811,40,149,,Pitcher 6,80.4,45,900,47,164,,70.7,52,818,42,151
,,78.6,43,986,53,167,,71.8,51,824,47,152,,,84.3,40,1006,54,159,,75.5,50,840,39,148
,Pitcher 7,74.5,65,942,42,158,,68.9,59,880,54,156,,Pitcher 7,77.9,63,917,35,162,,72.1,60,978,50,154
,,73.8,64,969,49,163,,67.8,58,874,49,156,,,76,65,922,50,163,,68.6,57,838,62,155
,Pitcher 8,66.9,44,920,66,181,,63.5,45,901,61,179,,Pitcher 8,70.1,42,857,33,179,,68.7,44,859,42,183
,,65.8,41,912,44,179,,65.1,38,856,29,179,,,70.8,38,882,14,179,,65.8,43,822,41,178
,Pitcher 9,72.6,62,845,75,159,,59.3,52,692,66,148,,Pitcher 9,68.7,57,823,61,155,,63.9,54,742,66,154
,,69.4,62,824,69,154,,60.1,52,701,65,154,,,73.7,62,812,64,156,,63.8,52,724,65,149
,Pitcher 10,75.4,42,849,25,183,,65.8,61,796,69,181,,Pitcher 10,77.8,62,926,83,182,,71,46,779,57,180
,,73.6,48,858,39,180,,65,54,800,51,183,,,79,65,74,42,149,,70,49,795,41,178
,Pitcher 11,79.9,50,787,43,138,,59.4,39,522,60,137,,Pitcher 11,83.9,63,745,42,149,,48.9,21,504,68,123
,,82.6,61,756,41,150,,58.8,33,437,58,135,,,84.3,51,786,41,141,,62.3,39,504,34,142
,Pitcher 12,74.6,52,825,72,125,,71.3,46,939,64,151,,Pitcher 12,77.6,51,888,71,122,,75.3,41,848,68,151
,,73.8,49,827,42,144,,69.1,49,945,72,159,,,78.4,48,857,70,128,,74.9,38,983,64,116
,Pitcher 13,84.5,82,874,56,154,,73.4,46,827,52,154,,Pitcher 13,89.4,73,839,46,139,,79.4,45,820,64,150
,,85,79,827,58,131,,74,46,83.5,49,153,,,90.2,76,833,50,145,,79.8,45,843,57,156
,Pitcher 14,74.9,84,1022,58,137,,61.2,53,934,62,135,,Pitcher 14,77.4,50,923,50,159,,64.1,63,915,60,136
,,74.9,73,875,52,159,,68,67,949,60,140,,,75.8,80,962,49,160,,68.6,66,964,66,139
,Pitcher 15,72.9,48,906,65,161,,54.7,25,598,78,167,,Pitcher 15,76.4,45,912,70,156,,57.3,23,665,79,163
,,70.7,46,877,70,157,,54.9,22,657,77,156,,,74.1,53,902,67,160,,55,24,662,79,164
,Pitcher 16,71.4,39,915,65,171,,68.5,51,848,50,154,,Pitcher 16,77.1,40,967,61,164,,72.7,52,769,67,166
,,69.8,42,953,58,157,,68.6,63,767,52,152,,,74.8,42,1077,54,157,,69.1,53,776,51,158
,Pitcher 17,76.2,71,920,49,148,,74,68,840,65,140,,Pitcher 17,75.4,64,904,48,142,,71,65,875,35,140
,,77.8,69,903,47,138,,68.6,59,788,46,138,,,72.4,65,913,59,144,,78.3,69,832,49,143
,Pitcher 18,78.9,46,883,55,151,,68.9,42,783,66,147,,Pitcher 18,81.6,44,879,55,149,,71.9,39,862,60,148
,,80.5,51,871,36,150,,66.2,37,822,63,143,,,83.4,43,896,50,147,,73.6,47,836,64,146
,Pitcher 19,73.5,45,794,55,145,,69.1,50,857,59,156,,Pitcher 19,78.9,45,845,50,149,,73.7,47,871,42,142
