,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plyo Velo Yellow Walking Windups,,,,,,Hybrid Yellow Walking Windups,,,,,,,Plyo Velo Gray Walking Windups,,,,,,Hybrid Gray Walking Windups,,,
,Average,78.04,54.64,890.42,54.32,163.6,,69.452,50.22,825.74,55.54,158.12,,Average,82.948,53.66,894.82,52.32,165.82,,72.676,48.68,838.62,54.6,157.7959184
,Standard Deviation,4.904079934,12.96111106,87.92362367,13.79628936,12.60634761,,5.390556187,9.82708502,96.61735041,10.28243162,11.79091175,,Standard Deviation,5.40163827,12.50057599,89.03902291,14.66756967,12.29746315,,6.046769716,10.03681224,95.39221981,12.19180052,14.20402299
,,,,,,,,,,,,,,,,,,,,,,,,,
,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation,,MPH,Stress,Arm Speed,Arm Slot,Shoulder Rotation
,Pitcher 1,85.8,62,850,43,156,,78,57,875,48,143,,Pitcher 1,88.2,59,933,45,149,,87,56,861,41,152
,,84.1,58,901,37,154,,79.6,58,1108,50,147,,,88.8,57,867,37,151,,89.7,54,798,31,148
,Pitcher 2,78.7,55,908,77,180,,64.6,50,699,59,174,,Pitcher 2,83.3,54,902,69,183,,67,51,769,57,174
,,77.1,55,869,71,178,,63.3,52,685,56,173,,,82.9,58,883,63,180,,72.1,50,776,58,177
,Pitcher 3,80,53,872,50,165,,68.7,55,934,50,173,,Pitcher 3,86.6,49,869,36,171,,76.3,52,889,63,179
,,82.9,52,866,51,167,,68.7,52,872,68,172,,,86.4,47,861,55,168,,76.3,43,1155,70,174
,Pitcher 4,71.9,39,864,37,151,,71.4,43,781,40,145,,Pitcher 4,76.8,43,894,52,157,,74,42,943,32,157
,,73.6,41,864,40,152,,68.9,45,756,41,155,,,77.7,40,854,48,154,,76.1,40,922,47,156
,Pitcher 5,76.8,82,843,64,151,,71.1,46,812,70,150,,Pitcher 5,79.2,80,846,67,160,,71.5,47,808,73,153
,,75.9,76,837,68,153,,68.8,46,802,68,151,,,81.1,76,903,67,166,,68.9,43,793,69,150
,Pitcher 6,83.1,44,953,59,172,,76.5,54,835,48,157,,Pitcher 6,89.3,58,932,76,174,,81.6,49,933,53,165
,,80.6,39,997,46,174,,77.8,53,848,53,160,,,88.8,40,961,52,178,,81.1,51,837,53,
,Pitcher 7,76.6,62,929,44,166,,71.9,67,873,59,167,,Pitcher 7,78.7,62,956,47,162,,72.6,59,851,61,166
,,76.4,63,928,42,164,,68.9,59,909,48,155,,,81.4,64,945,40,171,,68.3,61,994,55,162
,Pitcher 8,66.3,36,1010,40,183,,63.8,40,859,46,180,,Pitcher 8,71.5,38,877,20,182,,68.8,36,844,41,180
,,66.7,41,858,41,180,,63.6,39,853,48,179,,,71.6,45,841,74,183,,69.1,40,867,69,179
,Pitcher 9,68.5,57,787,56,169,,62.6,55,764,70,164,,Pitcher 9,76.2,60,786,54,171,,65.9,55,752,65,160
,,68.6,60,801,58,172,,63.1,53,742,65,156,,,75.7,60,817,58,173,,65.1,57,845,64,160
,Pitcher 10,78.7,59,882,72,181,,68.8,43,833,43,181,,Pitcher 10,86.3,45,995,21,183,,74.3,41,809,36,182
,,81.2,61,945,83,182,,72.9,56,847,56,182,,,84.6,44,933,22,181,,76.6,50,834,43,179
,Pitcher 11,88.4,44,765,50,150,,64.6,46,523,63,143,,Pitcher 11,89.9,43,805,41,153,,65.6,41,505,58,146
,,85.6,46,754,45,155,,63.3,45,551,59,137,,,92.1,47,797,45,156,,71.3,47,581,56,147
,Pitcher 12,76.9,51,858,60,128,,72.6,49,851,68,150,,Pitcher 12,85.4,57,829,56,141,,68.5,37,924,66,114
,,78.6,58,844,62,132,,68.5,44,901,66,146,,,82.9,48,846,43,141,,72.8,43,833,51,157
,Pitcher 13,84.3,90,1139,69,163,,80.4,44,842,57,164,,Pitcher 13,90.8,98,954,64,164,,84.6,44,906,57,164
,,85,88,848,51,162,,81.8,46,866,56,160,,,89.8,60,748,49,165,,84.7,45,870,56,164
,Pitcher 14,74.1,89,1228,53,158,,69.7,66,993,65,157,,Pitcher 14,79.1,94,1307,52,162,,72.6,63,945,58,148
,,75.4,67,967,46,164,,68.3,70,914,62,147,,,78.1,61,1004,42,160,,69.9,67,888,56,152
,Pitcher 15,74.2,47,911,72,172,,59.4,28,742,77,170,,Pitcher 15,77.8,48,953,74,173,,62.4,31,775,75,167
,,74.3,50,926,74,167,,60.7,31,747,77,167,,,75.2,44,928,75,177,,61.4,34,798,75,165
,Pitcher 16,76,48,934,73,178,,68.6,52,848,59,163,,Pitcher 16,79.3,45,917,54,179,,72,52,806,62,165
,,76.9,42,945,75,179,,69.1,53,852,62,170,,,82.2,50,979,55,179,,73.1,67,813,76,113
,Pitcher 17,79.7,67,939,38,147,,74.1,70,854,63,149,,Pitcher 17,78.7,61,900,56,149,,73.3,66,825,57,143
,,76.6,63,904,68,149,,70.4,63,821,63,148,,,80.5,59,820,62,147,,76.1,67,877,57,150
,Pitcher 18,83.1,45,914,59,166,,67.6,39,819,73,154,,Pitcher 18,88.9,42,884,56,157,,69.2,36,818,70,149
,,85.8,45,858,58,161,,67.4,37,794,61,148,,,92.1,43,910,61,158,,71.1,36,840,72,144
,Pitcher 19,78,45,786,63,163,,71.4,51,878,55,145,,Pitcher 19,83,45,849,38,181,,68.2,48,883,61,147
,,77.8,43,922,33,175,,69.7,51,836,59,143,,,81.5,41,874,61,165,,73.2,49,886,62,149
,Pitcher 20,73.9,43,902,31,174,,73,45,894,41,157,,Pitcher 20,79.8,48,862,45,179,,73.8,44,769,32,155
,,75.2,44,910,37,171,,68.6,50,861,38,179,,,82.7,45,1002,38,165,,71.5,53,730,40,174
,Pithcer 21,79.2,49,704,35,149,,69.1,53,744,52,152,,Pithcer 21,82.2,51,777,40,167,,68.1,50,813,53,149
,,79.3,49,717,30,167,,67.1,53,743,55,149,,,85.4,53,1050,45,155,,71.4,51,853,56,152
,Pitcher 22,77.7,45,930,46,162,,61.1,40,767,54,139,,Pitcher 22,83.9,48,834,33,172,,63.9,40,775,49,153
,,75.7,44,864,40,161,,63.6,44,776,47,148,,,83.4,47,782,37,170,,63.8,38,754,49,145
,Pitcher 23,72.8,48,879,64,140,,80.1,77,820,42,165,,Pitcher 23,74.6,45,818,53,137,,79.6,75,819,45,164
,,78.4,56,906,60,151,,75.1,63,712,45,162,,,76.3,53,922,64,148,,77.1,64,783,38,172
,Pitcher 24,79.8,53,919,59,165,,73.1,53,874,45,163,,Pitcher 24,87.6,47,934,53,169,,76.6,47,866,39,163
,,79.6,51,925,52,169,,73,47,877,42,156,,,88.9,53,938,57,172,,75.1,48,810,43,159
,Pithcer 25,82.8,61,842,62,177,,62.4,40,953,45,156,,Pithcer 25,89.7,59,774,73,174,,71,37,962,41,151
,,83.4,66,817,72,175,,65.8,38,947,40,155,,,90.5,69,889,91,179,,69.6,37,944,39,158
